,Brand,Model,Color,Type,Rating,No_rating,Bought,Discounted_price,Original_price,Discount
1218,pTron,pTron Newly Launched Tangent Eon BT v5.3,Grey,Wireless,3.7,"2,224",50+ bought in past month,₹599,"₹2,299",74%
1219,iGear,iGear Crystal,Neon Green,Wireless,3.5,101,,"₹1,299","₹3,000",57%
1220,Oud,Oud,Grey,Wireless,,,,"₹1,520","₹3,000",49%
1221,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1222,TOZO,TOZO T6 (Ergonomic Edition),Ergonomic Edition,Wireless,4.3,"6,878",,"₹1,980","₹4,598",57%
1223,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1224,OnePlus,OnePlus Buds Pro 2R,,Wireless,4.2,"1,836",,"₹8,999","₹11,999",25%
1225,Concept,Concept Kart AUDIOCULAR LEX IEM,Type,,4.0,15,50+ bought in past month,"₹1,699","₹2,999",43%
1226,Noise,Noise Buds VS401,up,Wireless,3.8,"12,186",,"₹1,399","₹3,499",60%
1227,HOPPUP,HOPPUP Predator Xo4 Gaming,,,3.7,176,50+ bought in past month,₹699,"₹4,999",86%
1228,ZEBRONICS,"ZEBRONICS Buds 50, 3.5mm,",Black,Wired,2.2,4,,₹199,₹399,50%
1229,Honeywell,Honeywell Suono P60,,Wired,3.4,558,50+ bought in past month,₹499,₹899,44%
1230,Concept,Concept Kart Kz Edx Pro X,Crystel,Wired,4.0,104,50+ bought in past month,"₹1,234","₹1,399",12%
1231,POCO,POCO _Buds_X1_Titanium,,Wireless,3.5,29,50+ bought in past month,"₹1,899","₹4,999",62%
1232,Bluetooth,"Bluetooth Headphone Sweatproof, Otium™ Beats Sports",,Wireless,4.2,"7,444",,"₹1,599","₹4,999",68%
1233,Mivi,Mivi DuoPods i7,,,3.6,"1,022",,₹999,"₹4,999",80%
1234,Buds,Buds 2,Black,Wired,,,,₹465,₹599,22%
1235,Wired,Wired,,Wired,,,,₹299,"₹1,299",77%
1236,Oraimo,Oraimo,White,Wired,3.8,"1,228",,₹299,,
1237,Noise,Noise Newly Launched Buds VS601,Copper Brown,Wireless,3.8,397,2K+ bought in past month,"₹1,399","₹3,999",65%
1238,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1239,Airbuds,Airbuds pro 2nd Generation with (C-Type) Charging Case (White),White,Wireless,4.0,4,,"₹2,699","₹11,999",78%
1240,Boult,Boult Audio X45,Grey,Wireless,3.1,637,50+ bought in past month,₹799,"₹4,999",84%
1241,ONE43,,Classic,Wired,4.8,32,,₹563,"₹1,999",72%
1242,Arrow,Arrow Dancer M10,,Wireless,3.7,215,,₹400,₹799,50%
1243,Skullcandy,Skullcandy Smokin Buds,,Wireless,3.6,"12,860",,"₹2,697","₹8,199",67%
1244,Gizitacore,Gizitacore,Green,Wireless,2.5,70,,₹338,₹599,44%
1245,Mivi,"Mivi DuoPods i2 Pro [New Launch], InstaCharge HD Clear Calling",,Wireless,3.8,330,,"₹1,199","₹3,999",70%
1246,Wireless,Wireless,,Wireless,,,,₹302,₹999,70%
1247,Wireless,Wireless,,Wireless,,,,₹699,"₹1,299",46%
1248,PunnkFunnk,,Black,,3.3,7,,₹899,"₹4,999",82%
1249,Probuds,Probuds N41,with Mic,Wireless,4.2,"1,576",,₹899,"₹1,999",55%
1250,Quick,Quick rise [Direct Connector,,Wired,5.0,1,,₹449,"₹1,999",78%
1251,truke,truke Mega 9 New Launch True,,Wireless,4.7,94,200+ bought in past month,"₹1,299","₹3,999",68%
1252,pTron,pTron Bassbuds Gomax,Blue,Wireless,3.5,374,,₹799,"₹2,899",72%
1253,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1254,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1255,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1256,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1257,GEARZTOUCH,GEARZTOUCH BASS-C Type C,White,Wired,5.0,8,,₹318,"₹1,699",81%
1258,CASON,CASON KZ Merga IEM,Grey,Wired,,,,"₹1,149","₹2,995",62%
1259,JGD,JGD 3.5mm Stereo,,Wired,3.5,151,50+ bought in past month,₹149,₹699,79%
1260,pTron,pTron Bassbuds Neo,Smoke Grey,,3.4,"72,362",,₹599,"₹3,199",81%
1261,Cintlug,"Cintlug Eकlota BT Music Neckband with Mic, Heavy Bass Sound, 40 Hours Battery Up, Low Latency",,,4.0,2,,₹399,"₹1,499",73%
1262,HOPPUP,HOPPUP Predator Xo3 Gaming,White,Wireless,3.2,5,50+ bought in past month,₹799,"₹4,999",84%
1263,Number,,Bold Black,,3.8,18,50+ bought in past month,₹999,"₹5,999",83%
1264,Cintlug,"Cintlug Eकlota BT Music Neckband with Mic, Heavy Bass Sound, 40 Hours Battery Up, Low Latency",,,,,,₹399,"₹1,499",73%
1265,Samsung,Samsung,,Wired,,,,₹267,₹999,73%
1266,JGD,JGD Boom J4,Blue,,3.9,366,50+ bought in past month,₹299,₹999,70%
1267,Number,Number Super Buds Pro GT99,Glass Blue,Wireless,3.3,136,50+ bought in past month,₹799,"₹4,999",84%
1268,Beats,Beats Powerbeats Pro 2,,Wireless,3.5,68,,"₹26,999","₹29,900",10%
1269,RTUSIA,RTUSIA Small,,Wireless,4.0,"5,256",50+ bought in past month,"₹2,499","₹6,999",64%
1270,pTron,pTron Tangent Duo In Ear,Jet Black,Wireless,3.7,809,300+ bought in past month,₹399,"₹1,899",79%
1271,iGear,iGear Crystal,Neon Green,Wireless,3.5,101,,"₹1,299","₹3,000",57%
1272,pTron,pTron Zenbuds 1 V2 ANC,Dark Brown,,3.8,318,50+ bought in past month,₹799,"₹3,999",80%
1273,Boult,Boult Audio AirBass Z20,White,,3.7,"17,049",,₹999,"₹5,499",82%
1274,Bluetooth,Bluetooth,,,2.0,1,,₹449,"₹1,999",78%
1275,MINDFIED,MINDFIED Neckband,,,5.0,4,,₹299,"₹1,499",80%
1276,Wireless,Wireless BT 341 for OPP-O Pad Original Sports,,Wireless,5.0,1,,₹599,"₹1,999",70%
1277,Birla,Birla Mobile hub,,Wireless,3.0,4,50+ bought in past month,₹389,₹599,35%
1278,ACwO,ACwO DwOTS 121,Dusty Lavendar,Wireless,4.7,54,,₹949,"₹3,599",74%
1279,truke,truke New Launched Q1 Lite True,Gold,Wireless,3.6,"1,052",50+ bought in past month,₹799,"₹2,499",68%
1280,Sony,Sony WF-C700N Noise Cancellation,,,3.8,"3,864",,"₹7,990","₹12,990",38%
1281,innomax,innomax K1 Pro True,White,Wireless,3.0,23,,₹497,"₹5,999",92%
1282,pTron,pTron PlayBuds 2,Raven Black,,3.6,"2,412",,₹799,"₹3,999",80%
1283,Concept,Concept Kart 7Hz x Crinacle Zero 2,Orange,Wired,4.3,66,,"₹2,746","₹3,399",19%
1284,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1285,pTron,pTron Tangent Flex,Bold Blue,Wireless,3.3,"1,103",800+ bought in past month,₹499,"₹1,999",75%
1286,pTron,pTron Boom Play X2 In Ear Type C,Black,Wired,3.6,629,300+ bought in past month,₹399,"₹1,499",73%
1287,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1288,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1289,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1290,Noise,Noise Newly Launched Buds Verve 2,Forest Green,Wireless,4.0,456,,"₹1,499","₹3,999",63%
1291,Portronics,Portronics Conch 10,White,Wired,3.6,109,,₹279,₹499,44%
1292,Portronics,Portronics Harmonics Twins 28 ANC,White,,3.8,60,,"₹1,283","₹2,999",57%
1293,PEARLBEAT,PEARLBEAT XE160 Boom Bass,White,Wired,3.8,4,,₹399,₹499,20%
1294,Zebronics,Zebronics Zeb-Buds 10 (Black) In Ear,Black,Wired,3.7,196,,₹249,₹699,64%
1295,Skullcandy,Skullcandy Rail ANC,,Wireless,4.0,"2,109",,"₹6,999","₹29,999",77%
1296,UNIX,"UNIX OG Pro Buds Fast Charging (10 min = 1.30 hour playtime) (1 mic 2 speaker) (Pause & Play) Superior Sound Quality, Long-Lasting Battery Life,Active No-ise Cancellation",Pause,,,,,"₹1,100","₹2,999",63%
1297,Samsung,Samsung USB Type-C,Black,Wired,3.8,"3,973",,"₹1,889","₹1,999",6%
1298,Elver,"Elver Buds X - Dual ANC+ENC, Dynamic Drivers with 32dB ANC with 4 mics, Upto 50HRS Playback, True Light Sensor, Intuitive Touch Controls, BT v5.3,",Metallic,Wireless,3.7,206,50+ bought in past month,"₹1,299","₹4,599",72%
1299,Portronics,Portronics Harmonics Twins S13,Green,Wireless,3.7,161,,₹599,"₹1,999",70%
1300,Sony,Sony New LinkBuds Fit WF-LS910N | Active Noise Cancelling,,Wireless,4.8,17,50+ bought in past month,"₹18,949","₹24,990",24%
1301,M19,M19,,,1.0,3,100+ bought in past month,₹417,₹999,58%
1302,pTron,pTron Tangent Duo In Ear,Jet Black,Wireless,3.7,809,300+ bought in past month,₹399,"₹1,899",79%
1303,Kratos,Kratos,,Wireless,3.9,292,100+ bought in past month,₹799,"₹2,999",73%
1304,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1305,soundcore,soundcore by Anker Sport X10 True,,Wireless,4.2,"9,848",,"₹5,999","₹15,998",63%
1306,TOZO,TOZO T10,,Wireless,3.7,"351,089",,"₹1,820","₹6,999",74%
1307,Noise,Noise Newly Launched Air Buds Pro 4,Upto,Wireless,3.6,"3,728",,"₹1,799","₹5,499",67%
1308,Skullcandy,Skullcandy Jib USB-C,Bone,Wired,3.8,"18,898",,₹999,"₹3,999",75%
1309,Skullcandy,Skullcandy Jib True 2,,Wireless,3.9,"4,019",,"₹2,992","₹9,999",70%
1310,TRIGGR,TRIGGR Kraken X3 Gaming,Black,Wireless,3.4,104,50+ bought in past month,₹760,"₹3,999",81%
1311,Earphones,Earphones for Realme V2 Earphone Original Like,,Wired,5.0,1,,₹349,₹999,65%
1312,OOGE,OOGE Beat 4,Ash Grey,Wired,3.9,121,,₹199,₹449,56%
1313,Skullcandy,Skullcandy Smokin Buds XT In-Ear,,Wireless,3.6,"12,860",,"₹2,799","₹2,849",2%
1314,HOPPUP,HOPPUP Predator Xo7 Gaming,Blue,Wireless,3.6,4,,₹899,"₹4,999",82%
1315,Meyaar,Meyaar DG-Beex Pack of 3 Headset with High Bass,Set of,Wired,4.6,4,,₹289,,
1316,pTron,pTron Bassbuds NX,Mint Green,Wireless,3.6,689,,₹599,"₹2,599",77%
1317,pTron,pTron Tangent Flex,Bold Blue,Wireless,3.3,"1,103",800+ bought in past month,₹499,"₹1,999",75%
1318,pTron,pTron Boom Play X2 In Ear Type C,Black,Wired,3.6,629,300+ bought in past month,₹399,"₹1,499",73%
1319,pTron,"pTron Boom Ultima 4D Dual Driver,",Dark Blue,Wired,3.6,"42,490",1K+ bought in past month,₹299,"₹1,900",84%
1320,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1321,Noise,Noise Newly Launched Air Buds Pro 6,up to,Wireless,4.0,"2,844",200+ bought in past month,"₹2,999","₹3,999",25%
1322,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1323,pTron,pTron Bassbuds Duo Pro,Grey,,3.6,"2,412",,₹699,"₹2,899",76%
1324,OOGE,OOGE Tune 3,Ash Grey,,3.9,157,,₹699,"₹1,999",65%
1325,Portronics,Portronics Twins S20,Black,,3.7,47,50+ bought in past month,₹849,"₹1,999",58%
1326,One,One Plus Nord Buds True,,Wireless,2.5,25,,₹820,"₹1,999",59%
1327,Sony,Sony WF-1000XM5 Best Active Noise Cancelling,,Wireless,3.8,"4,163",,"₹21,989","₹29,990",27%
1328,Wireless,Wireless BT 320 for Realme GT Neo 3 Original,,Wireless,,,,₹599,"₹1,599",63%
1329,Portronics,Portronics Twins S20,White,,3.7,47,50+ bought in past month,₹849,"₹1,999",58%
1330,Mivi,Mivi DuoPods i1 True,,Wireless,3.6,"1,022",50+ bought in past month,"₹1,199","₹2,996",60%
1331,Earphones,Earphones BT OPE for ONE-Plus Nord N30 Earphone Original Like,CUA,Wired,,,,₹349,₹999,65%
1332,JLab,JLab Go Air Sport True,,Wireless,3.1,"19,620",,"₹1,799","₹5,499",67%
1333,PLAYFULLY,PLAYFULLY Fashion,Baby Pink,Wireless,3.5,5,,₹499,₹899,44%
1334,JGD,JGD Boom J6,Blue,,3.8,173,,₹299,₹999,70%
1335,Jxrev,Jxrev,,Wireless,4.2,"13,287",,"₹1,399","₹4,999",72%
1336,Elver,Elver Active Gen One,Matte Black,Wireless,4.0,49,100+ bought in past month,₹999,"₹2,999",67%
1337,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1338,Concept,Concept Kart 7Hz Salnotes Zero,Black,Wired,3.7,300,,"₹2,374","₹3,199",26%
1339,ng,ng EarSafe Lite Open Ear Air Conduction,,,3.6,386,,"₹1,999","₹2,999",33%
1340,Noise,Noise Buds VS106,up to,Wireless,3.5,"2,082",,"₹1,099","₹4,490",76%
1341,Earphones,Earphones for Samsung Galaxy Core Prime 4G,YS,Wired,4.0,1,,₹399,₹999,60%
1342,GM,GM G+ Type-C,,Wired,3.8,35,,₹499,₹879,43%
1343,Bose,Bose New QuietComfort Ultra,,Wireless,3.6,"7,328",50+ bought in past month,"₹25,900",,
1344,Sony,Sony LinkBuds S WF-LS900N Noise Cancellation,,,3.8,"4,774",50+ bought in past month,"₹10,990","₹24,990",56%
1345,Wireless,Wireless,,Wireless,,,,₹299,₹999,70%
1346,Bose,Bose New QuietComfort,,Wireless,3.8,"2,723",,"₹16,900",,
1347,Portronics,Portronics Harmonics Twins S16,Green,Wireless,3.8,647,50+ bought in past month,₹699,"₹1,999",65%
1348,OOGE,OOGE Beat 1,Red,Wired,3.9,121,,₹147,₹349,58%
1349,RD,RD M-160,,Wireless,3.3,29,,₹899,"₹1,399",36%
1350,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1351,pTron,pTron Tangent Duo In Ear,Jet Black,Wireless,3.7,809,300+ bought in past month,₹399,"₹1,899",79%
1352,Noise,Noise Buds N1 Pro,Upto,Wireless,3.9,"4,882",1K+ bought in past month,"₹1,799","₹4,999",64%
1353,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1354,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1355,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1356,Zebronics,Zebronics PODS 141,Black,Wireless,3.8,47,50+ bought in past month,₹699,"₹4,199",83%
1357,ZEBRONICS,"ZEBRONICS Buds 50, 3.5mm,",Sky Blue,Wired,2.2,4,,₹199,₹399,50%
1358,Amazon,Amazon Brand - Solimo,Black,Wired,3.2,168,,₹179,,
1359,TANGZU,TANGZU WAN’ER S.G,,Wired,4.0,47,,"₹2,499","₹3,299",24%
1360,ZEBRONICS,"ZEBRONICS Monk+,",Black,,3.7,38,50+ bought in past month,"₹1,199","₹3,999",70%
1361,KDM,KDM M8 Original,,Wired,4.5,2,,₹260,₹699,63%
1362,realme,realme Buds Air 5 Pro,Astral Black,Wireless,4.2,"2,072",,"₹4,999","₹7,999",38%
1363,JLab,JLab Go Air Pop True,,Wireless,3.6,"51,404",,"₹1,499","₹3,249",54%
1364,Sennheiser,Sennheiser Momentum True,Black Graphite,Wireless,4.0,"1,383",,"₹18,990","₹29,990",37%
1365,pTron,pTron Bassbuds Astra,Grey,,3.5,374,,₹799,"₹2,899",72%
1366,boAt,boAt Immortal 125,White Sabre,,3.5,59,50+ bought in past month,₹880,"₹3,499",75%
1367,Black,Black-r Digital Display ENC,Black,Wireless,3.0,13,,₹659,,
1368,pTron,pTron Tangent Duo In Ear,Jet Black,Wireless,3.7,809,300+ bought in past month,₹399,"₹1,899",79%
1369,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1370,pTron,pTron Tangent Flex,Bold Blue,Wireless,3.3,"1,103",800+ bought in past month,₹499,"₹1,999",75%
1371,OOGE,OOGE Beat 4,Green,Wired,3.9,121,,₹199,₹549,64%
1372,RD,RD M-160 Dual Battery,,Wireless,3.3,29,,₹886,"₹1,399",37%
1373,Bose,Bose New Ultra Open,,Wireless,,,,"₹25,900",,
1374,ACwO,ACwO Fire Prime,in,,3.0,39,,"₹3,499","₹11,499",70%
1375,Portronics,Portronics Conch Gamma C,Black,Wired,3.0,2,,₹329,₹799,59%
1376,Like,Like Star A520 True,,Wireless,3.7,24,,₹775,"₹3,999",81%
1377,OnePlus,OnePlus Bullets Z2,Acoustic Red,Wireless,3.5,3,,"₹3,198",,30%
1378,Edifier,Edifier P180 Usb-C,,,4.1,89,,"₹1,390","₹1,990",30%
1379,HOPPUP,HOPPUP AirDoze F50,Stealth Black,Wireless,2.5,2,,₹599,"₹4,999",88%
1380,Bose,Bose New QuietComfort,,Wireless,3.8,"2,723",,"₹16,899",,
1381,SIGNATIZE,SIGNATIZE,Black,,,,,₹429,₹999,57%
1382,boAt,boAt Airdopes Ultra Plus,Active Black,,4.0,139,,"₹1,699","₹4,990",66%
1383,pTron,pTron Boom Play X2 In Ear Type C,Black,Wired,3.6,629,300+ bought in past month,₹399,"₹1,499",73%
1384,pTron,"pTron Boom Ultima 4D Dual Driver,",Dark Blue,Wired,3.6,"42,490",1K+ bought in past month,₹299,"₹1,900",84%
1385,pTron,pTron Bassbuds NX,Mint Green,Wireless,3.6,689,,₹599,"₹2,599",77%
1386,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1387,Oraimo,Oraimo,White,Wired,3.8,"1,228",,₹299,,
1388,Noise,Noise Newly Launched Air Buds Pro 6,up to,Wireless,4.0,"2,844",200+ bought in past month,"₹2,999","₹3,999",25%
1389,Zimo,Zimo AeroFlex,Lilac,Wireless,3.8,123,,₹399,"₹1,499",73%
1390,JBL,JBL Wave Beam,TWS,Wireless,3.5,"28,272",50+ bought in past month,"₹2,499","₹4,999",50%
1391,Wasart,Wasart,,Wireless,4.4,"4,394",,"₹1,999","₹4,999",60%
1392,JBL,JBL Wave Beam,TWS,Wireless,3.5,"28,272",,,,
1393,JGD,JGD Boom J4,Red,,3.8,173,,₹299,₹999,70%
1394,Cosmic,Cosmic Byte CosmoBuds X50 True,TWS,Wireless,3.8,"1,017",,₹999,"₹2,999",67%
1395,ZEBRONICS,ZEBRONICS PODS K2 In-Ear,White,Wireless,3.8,81,50+ bought in past month,₹899,"₹4,499",80%
1396,Portronics,Portronics Harmonics Z11,ON,Wireless,3.4,4,,₹755,"₹2,499",70%
1397,truke,truke New Launch BTG Crystal True,,Wireless,3.7,325,,₹899,"₹3,499",74%
1398,OOGE,OOGE Tune 3,Blue,,3.9,157,,₹699,"₹1,999",65%
1399,Wireless,Wireless BT 343 for Realme 6 / Realme6 Original Sports,DR,Wireless,,,,₹549,"₹1,599",66%
1400,amazon,amazon basics True,White,Wireless,3.0,2,,₹849,"₹2,499",66%
1401,TOZO,TOZO T6 (Ergonomic Edition),Ergonomic Edition,Wireless,4.3,"6,878",,"₹1,980","₹4,598",57%
1402,PHILIPS,PHILIPS TAT1150BK/94 Premium,Deep Black,Wireless,2.9,20,100+ bought in past month,"₹1,999","₹3,999",50%
1403,Elver,Elver Active Gen One,Matte Black,Wireless,4.0,49,100+ bought in past month,₹999,"₹2,999",67%
1404,JBL,JBL Tune Buds In Ear,Black,Wireless,3.6,"2,980",,"₹4,499","₹6,999",36%
1405,TOZO,TOZO T10,,Wireless,3.7,"351,089",,"₹1,820","₹6,999",74%
1406,INVICTO,INVICTO True,,Wireless,3.0,22,,₹375,₹699,46%
1407,Probuds,Probuds N31,with Mic,Wireless,4.2,"1,576",,₹999,"₹2,499",60%
1408,amazon,amazon basics True,Black,Wireless,3.2,20,50+ bought in past month,₹599,"₹3,099",81%
1409,OOGE,,Blue,,3.9,157,,₹619,"₹1,799",66%
1410,Boat,Boat Airdopes Sonik,Tranquil White,Wireless,3.4,379,,"₹1,099","₹5,990",82%
1411,Earphones,Earphones,TSB,Wired,5.0,2,,₹349,₹698,50%
1412,Concept,Concept Kart KZ Castor,,Wired,4.1,103,,"₹1,899","₹2,499",24%
1413,In,"In-Ear Headphone For Samsung Galaxy J6, J 6, J SIX, Samsung Galaxy J6+, J6 +, J 6 +, j SIX PLUS, Samsung Z3 / Samsung Z 3, Sasmsung Galaxy A10, A 10, Sasmsung Galaxy M10, M 10 In- Ear Headphone |",,Wired,,,,₹348,₹999,65%
1414,Perfume,Perfume Premium,,Wired,3.0,2,,₹230,₹699,67%
1415,boAt,"boAt Airdopes 191 ANC, 32dB ANC, Ambient Mode, 60HRS Battery, 4Mics ENx,",Pellucid Orange,Wireless,3.1,264,50+ bought in past month,"₹1,699","₹6,990",76%
1416,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1417,pTron,pTron Tangent Eon,Black,Wireless,3.7,"2,224",200+ bought in past month,₹599,"₹2,299",74%
1418,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1419,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1420,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1421,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1422,Global,Global Impex,,Wired,5.0,4,,₹799,"₹2,999",73%
1423,OOGE,OOGE Tune 3,Satin Black,,3.9,157,,₹699,"₹1,999",65%
1424,Earphones,Earphones BT MEP for ONE-Plus Nord/ONE-Plus Nord Earphone Original Like,BM,Wired,5.0,1,,,,
1425,VEHOP,VEHOP Buds Mini,,Wireless,2.6,3,,₹659,"₹2,999",78%
1426,Boult,Boult Audio Newly Launched K20,White,Wireless,3.3,384,,"₹1,245","₹2,299",46%
1427,Kendir,Kendir,One Piece,Wireless,4.2,"15,333",,"₹1,999","₹4,999",60%
1428,VEHOP,VEHOP Wing,Black,Wireless,1.0,1,,"₹1,299","₹4,999",74%
1429,T,T ZED,Blue,Wireless,,,,₹548,"₹1,999",73%
1430,ACwO,ACwO DwOTS 121,Sage Green,Wireless,4.7,54,,₹949,"₹3,599",74%
1431,SHOKZ,SHOKZ OpenMove,Elevation Blue,Wireless,4.3,"19,365",,"₹9,999","₹14,999",33%
1432,TEMPT,,Black,,3.6,76,,₹449,"₹1,999",78%
1433,GEARZTOUCH,GEARZTOUCH iBlast,Yellow,Wired,5.0,8,,₹218,₹599,64%
1434,truke,truke Newly Launched Buds Liberty Open Ear,,Wireless,3.8,859,700+ bought in past month,"₹1,599","₹6,999",77%
1435,Noise,Noise Newly Launched Air Buds Pro 6,up to,Wireless,4.0,"2,844",200+ bought in past month,"₹2,999","₹3,999",25%
1436,pTron,pTron Newly Launched Tangent Eon BT v5.3,Grey,Wireless,3.7,"2,224",50+ bought in past month,₹599,"₹2,299",74%
1437,,"(Refurbished) PTron Tangent Sports, 60Hrs Playtime, ENC BT5.2 Headphone, AptSense 40ms Low Latency Gaming, Punchy Bass,",Refurbished,Wireless,3.0,65,,₹679,,
1438,OOGE,OOGE Tune 8,Blonde Yellow,,3.8,224,,₹320,"₹1,499",79%
1439,Skullcandy,Skullcandy Ecobuds,,Wireless,4.0,154,,"₹2,247","₹3,999",44%
1440,TEMPT,,Green,,3.6,76,,₹449,"₹1,999",78%
1441,OOGE,OOGE Tune 6 In-Ear,,,3.8,224,,₹390,"₹1,499",74%
1442,Beats,Beats Solo Buds —,,Wireless,4.1,877,,"₹6,199","₹6,900",10%
1443,pTron,pTron Newly Launched Zenbuds Evo X5 34dB ANC,Black,Wireless,3.5,278,,"₹1,099","₹4,599",76%
1444,KZ,KZ ZSN PRO 2,,Wired,4.0,109,,"₹2,374","₹2,999",21%
1445,Oraimo,Oraimo,White,Wired,3.8,"1,228",,₹299,,
1446,PHILIPS,PHILIPS Audio,Black,Wireless,2.8,288,,"₹1,499","₹3,999",63%
1447,Leaf,Leaf Buds X514 True,Carbon Black,Wireless,3.3,13,,₹837,"₹3,499",76%
1448,Concept,Concept Kart 7Hz Salnotes Zero Mecha Edition,Red,Wired,3.7,300,,"₹2,374","₹3,199",26%
1449,Oraimo,Oraimo,White,Wired,3.8,"1,228",,₹299,,
1450,Noise,Noise Newly Launched Buds VS601,Cobalt Blue,Wireless,3.8,397,1K+ bought in past month,"₹1,399","₹3,999",65%
1451,TOZO,TOZO T6 (Ergonomic Edition),Ergonomic Edition,Wireless,4.3,"6,878",,"₹1,980","₹4,598",57%
1452,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1453,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1454,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1455,JBL,JBL Tune Beam In Ear,Black,Wireless,3.3,914,,"₹4,499","₹7,999",44%
1456,PHILIPS,PHILIPS TAT1209WT/00 True,White,Wireless,4.1,141,,"₹1,449","₹2,999",52%
1457,Noise,Noise Newly Launched Buds Trooper,Up to,Wireless,3.8,"4,192",,₹999,"₹2,999",67%
1458,Sony,Sony WF-C700N Noise Cancellation,,,3.8,"3,864",,"₹8,381","₹12,990",35%
1459,VEHOP,VEHOP JS270 OWS Open Ear,,Wireless,5.0,2,,"₹1,268","₹4,999",75%
1460,Shure,Shure SE215-CL,Clear,Wired,4.1,42,,"₹8,849","₹10,100",12%
1461,Number,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm Speakers, ENC, 45ms Low Latency",Blue Pool,,3.1,14,,₹699,"₹3,999",83%
1462,KZ,KZ Dawn,Siver Cable,,3.1,16,,₹759,₹999,24%
1463,ACwO,ACwO DwOTS Zing,Velvet Black,Wireless,5.0,10,,"₹1,799","₹6,999",74%
1464,EDYELL,EDYELL,FM,Wireless,3.8,507,50+ bought in past month,"₹1,599","₹5,999",73%
1465,PHILIPS,PHILIPS Audio TAT1169BN/94 True,Brown,Wireless,3.0,15,50+ bought in past month,₹999,"₹2,999",67%
1466,numBer,numBer Super Buds 999 ANC,Steel Black,Wireless,3.9,31,,₹999,"₹7,999",88%
1467,pTron,pTron Tangent Duo In Ear,Jet Black,Wireless,3.7,809,300+ bought in past month,₹399,"₹1,899",79%
