,Brand,Model,Color,Type,Rating,No_rating,Bought,Discounted_price,Original_price,Discount
1045,FINGERS,FINGERS SizeZero Pods2 World's Tiniest,Lilac,,3.5,183,50+ bought in past month,"₹1,349","₹2,499",46%
1046,Samsung,Samsung Compatible,,Wired,1.0,1,,₹289,₹999,71%
1047,Number,Number Super Buds Pro GT99,Glass Orange,Wireless,3.3,136,50+ bought in past month,₹799,"₹4,999",84%
1048,soundcore,"soundcore P40I by Anker,Noise Cancelling",,Wireless,4.3,"5,468",50+ bought in past month,"₹4,499","₹11,198",60%
1049,Kanget,Kanget XE610 Boom Bass,White,Wired,3.7,"2,290",50+ bought in past month,₹399,₹449,11%
1050,Kratos,Kratos,,Wireless,3.9,292,100+ bought in past month,₹799,"₹2,999",73%
1051,HOPPUP,HOPPUP Predator Xo3 Gaming,Black,Wireless,3.2,5,50+ bought in past month,₹799,"₹4,999",84%
1052,Mivi,Mivi DuoPods A750,,Wireless,3.6,"1,439",50+ bought in past month,₹899,"₹3,999",78%
1053,ng,ng EarSafe Lite Open Ear Air Conduction,,,3.6,386,,"₹1,999","₹2,999",33%
1054,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1055,PHILIPS,PHILIPS TAT1150BK/94 Premium,Deep Black,Wireless,2.9,20,100+ bought in past month,"₹1,999","₹3,999",50%
1056,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1057,Elver,Elver Active Gen One,Matte Black,Wireless,4.0,49,100+ bought in past month,₹999,"₹2,999",67%
1058,Jxrev,Jxrev,,Wireless,4.2,"13,287",,"₹1,399","₹4,999",72%
1059,OnePlus,"OnePlus Buds 3, Splendid Blue, Deep Bass, Anc, Immersive Sound, In Ear, Up To 44 Hour Playtime With Charging Case,",,,4.3,"7,202",,"₹6,299","₹6,499",3%
1060,Mivi,Mivi Commando X7 [Just Launched] Gaming,,Wireless,3.9,236,100+ bought in past month,"₹1,199","₹3,999",70%
1061,Number,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm Speakers, ENC, 45ms Low Latency",Black Sun,,3.1,14,50+ bought in past month,₹699,"₹3,999",83%
1062,JBL,"JBL New Launch Live Beam 3,Hi-Res Audio True ANC",Black,Wireless,3.7,714,50+ bought in past month,"₹14,999","₹24,999",40%
1063,EarFun,EarFun Air Pro 3 Noise Cancellation,Black,Wireless,4.3,"8,881",50+ bought in past month,"₹5,899","₹8,999",34%
1064,Boult,Boult Audio Z20 Pro,Black,Wireless,3.7,"1,192",50+ bought in past month,"₹1,099","₹5,999",82%
1065,Boult,Boult Buds Klarity 4 ANC,,Wireless,3.1,309,50+ bought in past month,"₹1,299","₹3,999",68%
1066,Portronics,Portronics Harmonics Twins S18,White,,4.0,272,50+ bought in past month,₹839,"₹1,999",58%
1067,pTron,pTron Pride Lite HBE (High Bass),High Bass,Wired,3.5,"22,687",,₹199,₹899,78%
1068,truke,truke New Launch BTG Crystal True,,Wireless,3.7,325,100+ bought in past month,₹899,"₹3,499",74%
1069,boAt,boAt Nirvana Iris,Quartz White,Wireless,4.0,16,50+ bought in past month,"₹1,979","₹14,990",87%
1070,Sennheiser,Sennheiser IE 200,,Wired,4.1,837,,"₹7,990","₹14,990",47%
1071,Amazon,Amazon Brand - Solimo,Black,Wired,3.2,168,,₹179,,
1072,iGear,iGear Crystal,Neon Green,Wireless,3.5,101,,"₹1,299","₹3,000",57%
1073,RTUSIA,RTUSIA Small,,Wireless,4.0,"5,256",50+ bought in past month,"₹2,499","₹6,999",64%
1074,PHILIPS,PHILIPS TAT1050BK/94,Deep Black,Wireless,3.3,20,50+ bought in past month,"₹1,799","₹2,899",38%
1075,Blaupunkt,Blaupunkt Newly Launched BTW300 Xtreme True,Blue,Wireless,3.8,"7,005",,"₹1,299","₹5,999",78%
1076,Original,Original Type C Earphone,,Wired,3.0,5,,₹284,"₹2,000",86%
1077,OOGE,OOGE Beat 1,Grey,Wired,3.9,121,50+ bought in past month,₹148,₹349,58%
1078,Blaupunkt,Blaupunkt Newly Launched Btw100 Xtreme,Black,Wireless,3.8,"7,005",100+ bought in past month,"₹1,248","₹3,999",69%
1079,pTron,pTron Zenbuds 1 V2 ANC,Snow White,,3.8,318,50+ bought in past month,₹799,"₹3,999",80%
1080,Boat,Boat Airdopes 120,Dawn Blue,Wireless,3.9,"6,978",,₹999,"₹4,990",80%
1081,PHILIPS,PHILIPS TAT1150RD/94 Premium,Red Mahogany,Wireless,2.9,20,100+ bought in past month,"₹1,999","₹3,999",50%
1082,TP,TP TROOPS,Red,Wireless,3.0,3,,₹339,"₹1,299",74%
1083,amazon,amazon basics,Black and,Wired,2.8,38,100+ bought in past month,₹241,₹599,60%
1084,JBL,JBL Wave Beam 2 Ear Buds,White,Wireless,3.7,731,100+ bought in past month,"₹4,299","₹7,499",43%
1085,Noise,Noise Newly Launched Buds Trance 2,up to,Wireless,2.9,410,50+ bought in past month,"₹1,199","₹2,999",60%
1086,ng,ng EarSafe Lite Open Ear Air Conduction,,,3.6,386,,"₹1,999","₹2,999",33%
1087,pTron,pTron Bassbuds Gomax,Blue,Wireless,3.5,374,,₹799,"₹2,899",72%
1088,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1089,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1090,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1091,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
1092,ZEBRONICS,ZEBRONICS New Launch Beast,,Wireless,3.5,180,50+ bought in past month,₹899,"₹1,699",47%
1093,Ambrane,Ambrane Type-C,Stringz,Wired,3.5,463,50+ bought in past month,₹329,₹799,59%
1094,Portronics,Portronics Harmonics Twins S3 Smart,White,,3.8,"1,760",50+ bought in past month,₹686,"₹1,999",66%
1095,Mivi,"Mivi DuoPods i2 Pro [New Launch], InstaCharge HD Clear Calling",,Wireless,3.8,330,100+ bought in past month,"₹1,199","₹3,999",70%
1096,USB,USB C,White,Wired,4.1,23,50+ bought in past month,₹799,"₹1,999",60%
1097,Beats,Beats Powerbeats Pro 2,,Wireless,4.3,25,,"₹26,999","₹29,900",10%
1098,Noise,Noise Buds VS201 V3,Ivory White,Wireless,3.7,"22,896",50+ bought in past month,₹999,"₹2,990",67%
1099,amazon,amazon basics,Black,Wireless,2.1,12,50+ bought in past month,₹499,"₹2,499",80%
1100,truke,truke Newly Launched BTG Storm Gaming,Black,,3.7,"1,344",,₹799,"₹2,499",68%
1101,iFAST,iFAST Digital Display,,Wireless,,,,"₹2,199","₹4,499",51%
1102,Skullcandy,Skullcandy Smokin Buds In-Ear,,Wireless,3.6,"12,860",50+ bought in past month,"₹2,695","₹8,199",67%
1103,pTron,pTron Bassbuds Viper,Jet Black,,3.4,"7,207",50+ bought in past month,₹699,"₹3,499",80%
1104,iGear,iGear Crystal,Neon Green,Wireless,3.5,101,,"₹1,299","₹3,000",57%
1105,RTUSIA,RTUSIA Small,,Wireless,4.0,"5,256",50+ bought in past month,"₹2,499","₹6,999",64%
1106,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1107,ZEBRONICS,"ZEBRONICS Jumbo LITE with 70 Hours Backup,",Upto,Wireless,3.5,216,50+ bought in past month,₹599,"₹2,999",80%
1108,soundcore,soundcore R50I Nc By Anker Noise Cancelling In Ear,Pink,,4.0,"6,811",50+ bought in past month,"₹2,099","₹5,598",63%
1109,Concept,Concept Kart Kz Edx Pro X,Black,Wired,4.0,104,50+ bought in past month,"₹1,234","₹1,399",12%
1110,pTron,pTron Bassbuds Duo Pro,Steel Blue,,3.7,589,50+ bought in past month,₹699,"₹2,899",76%
1111,truke,truke New Launch BTG Flex True,Orange,Wireless,3.9,590,,₹999,"₹3,499",71%
1112,realme,realme Buds Air 5,Deep Sea,Wireless,4.0,"17,078",100+ bought in past month,"₹2,680","₹5,999",55%
1113,VEHOP,VEHOP BQ40 Pull Out Design,,Wireless,5.0,1,,"₹1,159","₹4,999",77%
1114,HAMMER,HAMMER Nova,Green,Wired,,,,₹299,₹999,70%
1115,Cosmic,Cosmic Byte CB-EP-08 Gaming,Black,Wired,3.1,196,50+ bought in past month,₹949,"₹1,999",53%
1116,Noise,Noise Buds X Ultra,Up to,Wireless,1.7,5,,"₹2,599","₹4,499",42%
1117,HUMBLE,HUMBLE,Black,,3.6,27,100+ bought in past month,₹799,"₹2,499",68%
1118,HAMMER,HAMMER New Launch Ultra Pods,Blue,Wireless,4.0,1,,₹699,"₹3,499",80%
1119,pTron,pTron Tangent Duo In Ear,Jet Black,Wireless,3.7,809,300+ bought in past month,₹399,"₹1,899",79%
1120,pTron,pTron Tangent Flex,Bold Blue,Wireless,3.3,"1,103",800+ bought in past month,₹499,"₹1,999",75%
1121,pTron,pTron Boom Play X2 In Ear Type C,Black,Wired,3.6,629,300+ bought in past month,₹399,"₹1,499",73%
1122,RTUSIA,RTUSIA Small,,Wireless,4.0,"5,256",50+ bought in past month,"₹2,499","₹6,999",64%
1123,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1124,truke,truke Newly Launched Buds Liberty Open Ear,,Wireless,3.8,859,700+ bought in past month,"₹1,599","₹6,999",77%
1125,sprtoybat,sprtoybat Original Type C Earphone,USB C,Wired,4.4,954,,₹599,"₹1,999",70%
1126,Concept,Concept Kart Kz Castor Iem With Mic,,Wired,4.1,103,50+ bought in past month,"₹1,843","₹2,499",26%
1127,pTron,pTron Bassbuds Duo,Dark Green,Wireless,3.4,"7,207",,₹599,"₹2,599",77%
1128,Skullcandy,Skullcandy Jib+,,Wireless,3.2,"7,347",,"₹1,299","₹4,599",72%
1129,JBL,JBL New Launch Tune 245NC,Black,Wireless,3.2,"6,650",,"₹4,499","₹8,999",50%
1130,Black,Black-R,Black,Wireless,3.5,14,50+ bought in past month,₹264,,
1131,Skullcandy,Skullcandy Dime 3,Music,Wireless,3.2,"5,008",,"₹2,998","₹9,999",70%
1132,Jxrev,Jxrev,,Wireless,4.2,"13,287",,"₹1,399","₹6,999",80%
1133,Panasonic,Panasonic RP-HZ47-K,Black,Wired,3.9,"1,410",,"₹1,550","₹2,999",48%
1134,M19,M19,,Wireless,2.8,504,,₹398,₹499,20%
1135,OOGE,OOGE Tune 8,Satin Black,,3.8,224,50+ bought in past month,₹399,"₹1,499",73%
1136,soundcore,"soundcore P40I,Noise Cancelling",,Wireless,4.3,"5,468",,"₹4,499","₹11,198",60%
1137,Amazon,Amazon Brand - Solimo,Black,Wired,3.2,168,,₹179,,
1138,Noise,Noise Newly Launched Buds VS601,Cobalt Blue,Wireless,3.8,397,1K+ bought in past month,"₹1,399","₹3,999",65%
1139,PHILIPS,PHILIPS TAT1150BK/94 Premium,Deep Black,Wireless,2.9,20,100+ bought in past month,"₹1,999","₹3,999",50%
1140,ZEBRONICS,ZEBRONICS Buds C10,Black,Wired,3.6,296,50+ bought in past month,₹499,₹999,50%
1141,Dubstep,Dubstep Squad M7| X-Bass Technology| 10mm Dynamic Drivers| Mobile/Laptop Compatible|3.5 mm Audio Jack|,,Wired,4.6,13,50+ bought in past month,₹199,₹499,60%
1142,pTron,pTron Zenbuds 1 V2 ANC,Brown,,3.8,"1,250",50+ bought in past month,₹799,"₹3,999",80%
1143,boAt,boAt Rockerz 195 Pro,Maroon Maverick,Wireless,3.1,192,100+ bought in past month,₹999,"₹2,990",67%
1144,HOPPUP,HOPPUP Predator Xo4 Gaming,,,3.7,176,50+ bought in past month,₹699,"₹4,999",86%
1145,JLab,JLab Go Pop ANC Active Noise Cancelling,,Wireless,4.2,893,50+ bought in past month,"₹1,899","₹2,999",37%
1146,Noise,Noise Buds X Ultra,Up to,Wireless,1.7,5,,"₹2,599","₹4,499",42%
1147,SIGNATIZE,SIGNATIZE 2/Ear Neckband,,,,,,₹249,₹999,75%
1148,boAt,boAt Newly Launched Immortal 158,White Sabre,,3.3,55,50+ bought in past month,"₹1,299","₹3,499",63%
1149,DUDAO,DUDAO X3C,White,Wired,2.8,7,,₹359,"₹1,490",76%
1150,pTron,pTron Basspods Tour,Black,,3.7,589,100+ bought in past month,₹899,"₹3,199",72%
1151,Wishtime,Wishtime,,Wireless,4.1,"22,664",50+ bought in past month,"₹1,299","₹2,999",57%
1152,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
1153,Noise,Noise Newly Launched Air Buds Pro 6,up to,Wireless,4.0,"2,844",200+ bought in past month,"₹2,999","₹3,999",25%
1154,pTron,pTron Bassbuds NX,Sand Brown,Wireless,3.4,"72,362",100+ bought in past month,₹599,"₹2,599",77%
1155,CrossBeats,CrossBeats Shuffl ANC Neckband,Black,Wireless,3.8,"1,483",200+ bought in past month,"₹1,798","₹4,999",64%
1156,Elver,Elver Active Gen One,Matte Black,Wireless,4.0,49,100+ bought in past month,₹999,"₹2,999",67%
1157,Noise,Noise Newly Launched Buds VS601,Copper Brown,Wireless,3.8,397,2K+ bought in past month,"₹1,399","₹3,999",65%
1158,Wishtime,Wishtime,,Wireless,4.1,"22,664",50+ bought in past month,"₹1,299","₹2,999",57%
1159,HOPPUP,HOPPUP Predator Xo7 Gaming,Black,Wireless,3.6,4,50+ bought in past month,₹899,"₹4,999",82%
1160,Wireless,Wireless,,Wireless,,,,₹335,₹899,63%
1161,PHILIPS,PHILIPS TAT1150WT/94 Premium,Bright White,Wireless,2.9,20,,"₹1,999","₹3,999",50%
1162,mindfied,mindfied,USB,Wireless,3.8,19,50+ bought in past month,₹299,"₹1,499",80%
1163,Noise,Noise Newly Launched Buds Verve 2,Iceberg Blue,Wireless,4.0,456,50+ bought in past month,"₹1,499","₹3,999",63%
1164,VEHOP,VEHOP YW02,,Wireless,,,,"₹1,497","₹4,999",70%
1165,Bouncefit,Bouncefit Sonic,Black,Wireless,5.0,6,,₹474,"₹2,999",84%
1166,Mivi,Mivi DuoPods i7,,Wireless,3.8,88,,₹999,"₹4,999",80%
