,Brand,Model,Color,Type,Rating,No_rating,Bought in past month,Discounted_price,Original_price,Discount %,Freq_bought
90,Realme,Realme buds t200 lite,Volt black,Wireless,4.0,26192,2k+ ,1399,1999,30,frequently bought
91,Boat,"Boat airdopes 141 anc(~32db), 50ms low latency, 4mics enx,42hrs battery, fast charge,ipx5, v5.3",Gunmetal black,Wireless,3.8,169246,2k+ ,1298,5990,78,frequently bought
92,Boult,Boult audio w20,Space black,Wireless,3.9,8963,3k+ ,799,2499,68,frequently bought
93,Apple,Apple airpods 4,Black,Wireless,4.0,352,2k+ ,11999,12900,7,frequently bought
94,Realme,Realme,Punk black,Wireless,4.0,26192,1k+ ,1299,2999,57,frequently bought
95,Boat,Boat bassheads 100,White,Wired,4.1,419049,1k+ ,349,999,65,frequently bought
96,Realme,Realme buds t110,Jazz blue,Wireless,4.0,26192,3k+ ,1299,2999,57,frequently bought
97,Boat,"Boat rockerz 245 v2 pro, 30hrs battery, enx tech, fast charge, low latency, dual pairing, magnetic ear buds, ipx5, type-c interface,",Active black,Wireless,4.0,5674,5k+ ,1099,3490,69,frequently bought
98,Boat,"Boat new launch airdopes plus 311, glass design, dual mics enx, fast charge, 50 hrs battery, low latency, ipx4,",Ash grey,Wireless,3.8,764,2k+ ,999,3990,75,frequently bought
99,Boat,"Boat rockerz 255 pro+, 60hrs battery, fast charge, ipx7, dual pairing, low latency, magnetic",Navy blue,Wireless,3.9,227086,3k+ ,1299,3990,67,frequently bought
100,Boat,Boat rockerz 235 pro,Active black,Wireless,4.1,395,3k+ ,899,2490,64,frequently bought
101,Boat,"Boat airdopes 311 pro, 50hrs battery, fast charge, dual mics enx tech, transparent lid, low latency, ipx4, iwp tech, v5.3",Dusk blue,Wireless,3.5,2125,4k+ ,999,4990,80,frequently bought
102,Boat,"Boat airdopes joy, 35hrs battery, fast charge, iwp tech, low latency, 2mic enx, type-c port, v5.3",Swedish white,Wireless,3.4,868,3k+ ,899,3490,74,frequently bought
103,W20,W20,Glacier blue,Wireless,3.9,8963,4k+ ,799,2499,68,frequently bought
104,Jbl,Jbl c100si,Red,Wired,4.0,199471,2k+ ,599,1299,54,frequently bought
105,Boat,"Boat airdopes 280 anc, active noise cancellation(~32db), 60hrs battery, 13mm drivers, 4mics enx, fast charge, ipx5, v5.3",Active black,Wireless,3.5,2490,2k+ ,1249,6990,82,frequently bought
106,Boat,"Boat airdopes 141, low latency, enx tech, 42hrs battery, fast charge, iwp, ipx4, v5.1",Cider cyan,Wireless,3.8,169246,2k+ ,999,4490,78,frequently bought
107,Realme,Realme buds,Black,Wireless,4.2,19198,1k+ ,1598,2999,47,frequently bought
108,Boat,"Boat airdopes 111v2, premium leather finish, 4mics enx, 50hrs battery, 13mm drivers, fast charge, dual pair, v5.4",Ivory white,Wireless,3.8,9414,1k+ ,1199,4990,76,frequently bought
109,Noise,Noise buds n1 pro,Upto,Wireless,3.9,4882,2k+ ,1799,4999,64,frequently bought
110,Boult,Boult audio k40 true,Ivory white,Wireless,3.9,7012,1k+ ,899,2999,70,frequently bought
111,Amazon,Amazon basics,Blue,Wireless,3.5,513,1k+ ,499,1999,75,frequently bought
112,Boat,Boat bassheads 105,Green,Wired,4.0,38296,500+ ,399,999,60,least bought
113,Boat,Boat airdopes 163,Active black,Wireless,3.8,733,2k+ ,999,2490,60,frequently bought
114,Mivi,Mivi superpods immersio [flagship launch],Black,Wireless,3.9,5110,2k+ ,2199,6499,66,frequently bought
115,Boat,"Boat rockerz 255 z plus, ai-enx tech, spatial audio, 50hrs battery, low latency mode, fast charge, app support, ipx4, gfps, bt v5.3,",Slate grey,Wireless,3.9,227086,1k+ ,999,4490,78,frequently bought
116,Realme,Realme buds t310 true,Monet purple,Wireless,4.1,11183,2k+ ,1999,3999,50,frequently bought
117,Noise,Noise buds vs104,Mint green,Wireless,3.8,26469,2k+ ,1099,3499,69,frequently bought
118,Ptron,Ptron boom play x2 in ear type c,Black,Wired,3.6,629,300+ ,399,1499,73,least bought
119,Ptron,Ptron tangent flex,Bold blue,Wireless,3.3,1103,800+ ,499,1999,75,least bought
120,Ambrane,Ambrane,Stringz,Wired,3.8,5523,2k+ ,199,449,56,frequently bought
121,Boult,"Boult audio z40 pro with 100h playtime, quad mic enc, 45ms low latency gaming, premium rubber grip case, 13mm bass drivers, made in india",Midnight,Wireless,3.8,34264,1k+ ,1299,5499,76,frequently bought
122,Boult,Boult z60,Raven black,Wireless,3.8,10868,1k+ ,899,2999,70,frequently bought
123,Ooge,Ooge tune 15,Black,Wireless,3.8,224,1k+ ,299,1499,80,frequently bought
124,Portronics,Portronics conch theta a,White,Wired,4.0,657,1k+ ,229,699,67,frequently bought
125,Boult,"Boult audio z40 pro with 100h playtime, quad mic enc, 45ms low latency gaming, premium rubber grip case, 13mm bass drivers, made in india",Jungle,Wireless,3.8,34264,1k+ ,1298,5499,76,frequently bought
126,Jbl,"Jbl c200si, premium",Gun metal,Wired,4.0,24694,1k+ ,798,1499,47,frequently bought
127,Oneplus,Oneplus buds 3,Splendid blue,Wireless,4.3,7202,2k+ ,5499,6499,15,frequently bought
128,Boult,Boult audio z20 pro,Jet black,Wireless,4.0,4325,1k+ ,1099,5999,82,frequently bought
129,Realme,Realme buds,Black,Wireless,4.0,7,50+ ,1099,2499,56,least bought
130,Boult,Boult audio k40 true,Electric black,Wireless,3.9,7012,1k+ ,899,2999,70,frequently bought
131,W20,W20,Pine green,Wireless,3.9,8963,1k+ ,799,2499,68,frequently bought
132,Ptron,"Ptron boom ultima 4d dual driver,",Dark blue,Wired,3.6,42490,1k+ ,299,1900,84,frequently bought
133,Boat,Boat bassheads 105,Blue,Wired,4.0,38296,1k+ ,399,999,60,frequently bought
134,Boat,Boat airdopes 131,Midnight blue,Wireless,3.6,1021,1k+ ,799,2990,73,frequently bought
135,Boult,Boult audio bassbuds x1,Black,Wired,3.9,89044,1k+ ,329,999,67,frequently bought
136,Amazon,Amazon basics,Ab,Wireless,3.4,377,1k+ ,499,2499,80,frequently bought
137,Boult,Boult z20,Ivory white,Wireless,4.2,2355,3k+ ,999,5499,82,frequently bought
138,Xiaomi,Xiaomi,Blue,Wired,4.1,107290,2k+ ,499,999,50,frequently bought
139,Noise,Noise pure pods,Power black,Wireless,3.7,1339,1k+ ,2999,6999,57,frequently bought
140,Jbl,Jbl vibe beam,Tws,Wireless,3.5,28272,1k+ ,2299,5999,62,frequently bought
141,Noise,Noise buds n1,Up to,Wireless,4.0,9470,1k+ ,999,3499,71,frequently bought
142,Sony,Sony mdr-ex155ap,Black,Wired,4.0,7876,1k+ ,999,1290,23,frequently bought
143,Boat,"Boat airdopes 141, low latency, enx tech, 42hrs battery, fast charge, iwp, ipx4, v5.1",Pure white,Wireless,3.8,169246,2k+ ,999,4490,78,frequently bought
144,Apple,Apple airpods 4,Black,Wireless,3.9,173,1k+ ,16990,17900,5,frequently bought
145,Boat,"Boat rockerz 245 v2 pro, 30h battery, enx tech, fast charge, dual pairing, magnetic buds, usb type-c interface & ipx5,",Teal green,Wireless,4.1,2193,3k+ ,1099,3490,69,frequently bought
146,Portronics,Portronics harmonics z5,Black,Wireless,4.0,1353,1k+ ,699,799,13,frequently bought
147,Jbl,Jbl wave buds 2 ear buds,Black,Wireless,3.6,21112,1k+ ,2999,6999,57,frequently bought
148,Boult,Boult audio x1 pro,Black,Wired,3.9,89044,1k+ ,449,999,55,frequently bought
149,Jbl,"Jbl c50hi,",Black,Wired,3.9,65757,1k+ ,499,699,29,frequently bought
150,Realme,Realme,Black,Wireless,4.1,2530,2k+ ,4499,7999,44,frequently bought
151,Elver,Elver active gen one,Matte black,Wireless,4.0,49,100+ ,999,2999,67,least bought
152,Ptron,Ptron tangent eon,Black,Wireless,3.7,2224,200+ ,599,2299,74,least bought
153,Ptron,Ptron tangent eon,Dark blue,Wireless,3.7,2224,50+ ,599,2299,74,least bought
154,Realme,Realme buds,Twilight purple,Wireless,3.7,807,1k+ ,1599,2799,43,frequently bought
155,Amazon,Amazon basics,Ab,Wireless,3.6,344,1k+ ,499,2499,80,frequently bought
156,Truke,Truke new launch crystal dyno leather finish true,Black,Wireless,4.6,350,1k+ ,999,2999,67,frequently bought
157,Portronics,Portronics conch theta a,Black,Wired,4.0,657,1k+ ,229,699,67,frequently bought
158,Oneplus,Oneplus buds 3,Green,Wireless,4.3,7202,4k+ ,5510,6499,15,frequently bought
159,Realme,Realme buds,Dawn silver,Wireless,3.7,807,1k+ ,1599,2799,43,frequently bought
160,Boult,Boult k10,Ice blue,Wireless,4.0,4301,2k+ ,999,2499,60,frequently bought
161,Boult,Boult audio ufo,White opal,Wireless,3.9,5413,1k+ ,1299,3499,63,frequently bought
162,Boat,"Boat airdopes 91, 45hrs battery, 50ms low latency, enx tech, fast charge, ipx4, iwp tech, v5.3",Starry blue,Wireless,3.4,6205,500+ ,799,4990,84,least bought
163,Boat,Boat airdopes 121 pro,Active black,Wireless,3.7,23079,500+ ,799,2990,73,least bought
164,Boult,Boult audio x1 pro,Blue,Wired,3.9,89044,1k+ ,449,999,55,frequently bought
165,Boat,"Boat new launch airdopes plus 311, glass design, dual mics enx, fast charge, 50 hrs battery, low latency, ipx4,",Midnight blue,Wireless,3.8,764,4k+ ,999,3990,75,frequently bought
166,Boat,"Boat nirvana ion, 120hrs battery, crystal bionic sound w/dual eq modes, 4mics enx, app support, low latency, ipx4, v.5.2",Ivory white,Wireless,3.9,17232,1k+ ,1698,7990,79,frequently bought
167,Boat,"Boat rockerz 255 anc, 100hrs battery, spatial audio, 32db anc, fast charge(10mins=24hrs), 3mics ai-enx tech, 13mm drivers,",Magenta pop,Wireless,3.9,227086,1k+ ,1599,6990,77,frequently bought
168,Boult,Boult audio newly launched xo black,Black,Wired,4.0,193,2k+ ,349,999,65,frequently bought
169,Boult,Boult audio bassbuds x1,Blue,Wired,3.9,89044,1k+ ,349,999,65,frequently bought
170,Boat,Boat bassheads 242,Blue,Wired,4.1,177031,1k+ ,499,1490,67,frequently bought
171,Boat,"Boat airdopes joy, 35hrs battery, fast charge, iwp tech, low latency, 2mic enx, type-c port, v5.3",Dark cyan,Wireless,3.4,868,2k+ ,999,3490,71,frequently bought
172,Zebronics,Zebronics zeb evolve,Gray,Wireless,3.6,6322,1k+ ,499,1499,67,frequently bought
173,Boat,"Boat airdopes 300, cinematic spatial audio, 50hrs battery, 4mic ai enx, fast charge, app support, low latency, ipx4, v5.3",Chrome white,Wireless,4.0,4651,2k+ ,1498,6490,77,frequently bought
174,Boat,"Boat airdopes 300, cinematic spatial audio, 50h battery, 4mic ai enx, fast charge, app support, low latency, ipx4, v5.3",Purple haze,Wireless,4.0,4651,2k+ ,1499,6490,77,frequently bought
175,Kratos,Kratos,Black,Wireless,3.9,292,100+ ,799,2999,73,least bought
176,Truke,Truke new launch crystal bass true,Matte black,Wireless,4.3,198,600+ ,799,2999,73,least bought
177,Realme,Realme buds t200 lite,Aurora purple,Wireless,4.0,26192,1k+ ,1399,1999,30,frequently bought
178,Noise,Noise buds vs104,Midnight blue,Wireless,3.8,26469,1k+ ,1099,3499,69,frequently bought
179,Sony,Sony wi-c100,Black,Wireless,3.7,11909,1k+ ,1499,2790,46,frequently bought
180,Boat,"Boat rockerz 255 pro+, 60hrs battery, fast charge, ipx7, dual pairing, low latency, magnetic",Cosmic grey,Wireless,3.9,227086,1k+ ,1299,3990,67,frequently bought
181,Realme,Realme buds t200 lite,Storm grey,Wireless,4.0,26192,1k+ ,1399,1999,30,frequently bought
182,Portronics,Portronics harmonics z7,Black,Wireless,3.9,1870,1k+ ,539,1999,73,frequently bought
183,Kratos,Kratos cube ear buds,Black,Wireless,3.9,292,1k+ ,599,2099,71,frequently bought
184,Boat,"Boat nirvana space, 360º spatial audio, active noise cancellation (~32db), 100hrs battery,4mics enx, fast charge, v5.3",Cosmic black,Wireless,4.0,4101,1k+ ,2099,7999,74,frequently bought
185,Hp,Hp h150 true,Black,Wireless,2.8,953,3k+ ,699,2499,72,frequently bought
186,Samsung,"Samsung galaxy buds2 pro, with innovative ai features,",Graphite,Wireless,4.3,9456,900+ ,9999,19999,50,least bought
187,Boult,"Boult audio maverick with 35h playtime, 45ms xtreme low latency mode, quad mic enc, type c fast charging (10mins=120mins), 10mm drivers, bt 5.3, ipx5 airbass true",Black,Wireless,3.8,10868,500+ ,799,4499,82,least bought
188,Ambrane,Ambrane stringz 38,Green,Wired,3.8,22547,700+ ,249,449,45,least bought
189,Boat,Boat airdopes 163/ airdopes 161,Bold blue,Wireless,3.8,733,1k+ ,999,2490,60,frequently bought
190,Ambrane,Ambrane,Ep,Wired,3.8,5523,800+ ,159,299,47,least bought
191,Noise,Noise buds vs104,Charcoal black,Wireless,3.8,26469,1k+ ,1099,3499,69,frequently bought
192,Jbl,"Jbl c200si, premium",Gray,Wired,4.0,7895,1k+ ,799,1499,47,frequently bought
193,Boult,Boult audio ufo,Smoky metal,Wireless,3.9,5413,1k+ ,1299,3499,63,frequently bought
194,Ambrane,Ambrane,Stringz,Wired,3.8,5523,900+ ,169,449,62,least bought
195,Boat,Boat immortal 181,White sabre,Wireless,3.6,58,400+ ,799,3499,77,least bought
196,Sony,Sony wf-c510,Black,Wireless,3.8,1286,1k+ ,3989,8990,56,frequently bought
197,Hp,Hp h100,Black,Wireless,2.5,55,1k+ ,499,1999,75,frequently bought
198,Boat,Boat newly launched bassheads 100 c,Maroon,Wired,4.1,419049,1k+ ,699,1990,65,frequently bought
199,Amazon,Amazon basics,White,Wireless,3.6,1988,1k+ ,499,2499,80,frequently bought
200,Zebronics,Zebronics zeb-sound bomb 1,Black,Wireless,3.5,18877,1k+ ,599,2499,76,frequently bought
201,Boat,Boat bassheads 95 (2025),Active black,Wired,3.3,23,1k+ ,299,1199,75,frequently bought
202,Zebronics,Zebronics bro 3.5mm,Black,Wired,3.4,59333,1k+ ,159,399,60,frequently bought
203,Boult,Boult audio newly launched xo pro black,Black,Wired,4.0,193,1k+ ,449,1199,63,frequently bought
204,Realme,Realme buds 3 (3.5 mm),Black,Wired,4.3,149022,50+ ,798,999,20,least bought
205,Boult,Boult z60,Spring green,Wireless,3.8,10868,500+ ,899,2999,70,least bought
206,Jbl,Jbl new launch tune beam 2,Black,Wireless,4.0,580,1k+ ,5999,8999,33,frequently bought
207,Ptron,Ptron tangentbeat,Dark blue,Wireless,3.8,76117,1k+ ,599,2499,76,frequently bought
208,Ambrane,Ambrane stringz 38,Black,Wired,3.8,22547,800+ ,249,449,45,least bought
209,Truke,Truke buds f1 ultra true,Black,Wireless,3.8,2679,1k+ ,799,2999,73,frequently bought
210,Ambrane,Ambrane stringz 38,Green,Wired,3.8,22547,1k+ ,279,449,38,frequently bought
211,Ambrane,Ambrane,Ep,Wired,3.8,5523,1k+ ,179,299,40,frequently bought
212,Xiaomi,Xiaomi type-c,Black,Wireless,3.8,288,1k+ ,599,999,40,frequently bought
213,Noise,Noise airwave,Upto,Wireless,3.8,18072,500+ ,999,2499,60,least bought
214,Kz,Kz edc pro iem,Dd,Wired,4.0,201,1k+ ,788,1399,44,frequently bought
215,Portronics,Portronics harmonics twins s18,Black,Wireless,4.0,272,500+ ,699,1999,65,least bought
216,Sony,Sony wi-c100,Blue,Wireless,3.7,11909,500+ ,1498,2790,46,least bought
217,Boat,Boat rockerz 150 pro,Black,Wireless,3.5,1680,1k+ ,1399,3990,65,frequently bought
218,Boult,Boult audio zcharge,Black,Wireless,3.7,29790,1k+ ,799,4999,84,frequently bought
219,Ambrane,Ambrane type c,Stringz,Wired,3.4,751,900+ ,329,699,53,least bought
220,Wireless,Wireless,Black,Wireless,4.0,15,500+ ,335,999,66,least bought
221,Boat,"Boat airdopes 91, 45hrs battery, 50ms low latency, enx tech, fast charge, ipx4, iwp tech, v5.3",Mist grey,Wireless,3.4,6205,1k+ ,789,4990,84,frequently bought
222,Amazon,Amazon basics,Ab,Wireless,3.4,380,500+ ,549,2499,78,least bought
223,Boult,Boult audio curve max,Black,Wireless,3.7,110772,500+ ,899,5499,84,least bought
224,Boat,"Boat new launch nirvana crystl, transparent case,spatial audio, anc(~32db), 100hrs battery,4mics enx, dual pair,app support,",Blazing red,Wireless,4.5,457,400+ ,2199,10990,80,least bought
225,Noise,Noise buds n1 pro,Upto,Wireless,3.9,4882,1k+ ,1799,4999,64,frequently bought
226,Bouncefit,Bouncefit,Black,Wireless,4.4,65,500+ ,499,2999,83,least bought
227,Boat,"Boat airdopes 141 pro buds, 13mm drivers, metallic finish, 60hrs battery, 4mics enx, fast charge, ipx5, v5.3",Martian green,Wireless,3.4,139,500+ ,799,4990,84,least bought
228,Ambrane,Ambrane,Stringz,Wired,3.2,846,400+ ,249,599,58,least bought
229,Portronics,Portronics harmonics twins s3 smart,Black,Wireless,3.8,1760,500+ ,699,1999,65,least bought
230,Amazon,Amazon basics,Ab,Wireless,3.6,344,500+ ,499,2499,80,least bought
231,Jbl,Jbl tune 310,Black,Wired,3.2,1031,1k+ ,1499,1999,25,frequently bought
232,Jbl,Jbl c100si,White,Wired,4.0,23263,500+ ,599,1299,54,least bought
233,Boult,Boult audio zcharge,Blue,Wireless,3.7,29790,500+ ,799,4999,84,least bought
234,Ambrane,Ambrane stringz 38,Space grey,Wired,3.8,22547,500+ ,249,449,45,least bought
235,Iphone,Iphone,Black,Wired,3.5,3,300+ ,465,1599,71,least bought
236,Jbl,"Jbl c50hi,",Blue,Wired,3.9,42590,500+ ,499,669,25,least bought
237,Philips,Philips tat1150bk/94 premium,Deep black,Wireless,2.9,20,100+ ,1999,3999,50,least bought
238,Jxrev,Jxrev,Black,Wireless,4.2,13287,50+ ,1399,4999,72,least bought
239,Noise,Noise aura buds,Aura black,Wireless,4.0,2844,500+ ,1299,4499,71,least bought
240,Philips,Philips audio tae1159gd/00,Gold,Wired,3.6,81,500+ ,449,999,55,least bought
241,Boat,"Boat rockerz 255 anc, 100hrs battery, spatial audio, 32db anc, fast charge(10mins=24hrs), 3mics ai-enx tech, 13mm drivers,",Marine blue,Wireless,3.9,227086,500+ ,1799,6990,74,least bought
242,Boat,"Boat airdopes 141 anc (~32db), 50ms low latency, 4mics enx, 42hrs battery, fast charge, ipx5, v5.3",White,Wireless,3.8,169246,500+ ,1299,5990,78,least bought
243,Boat,"Boat rockerz 111, 40hrs battery, dual device pairing, enx tech, low latency mode, fast charging, btv5.3, ipx5, type-c interface,",Active black,Wireless,3.6,1419,500+ ,899,2490,64,least bought
244,Zebronics,Zebronics zeb-buds c2,Black,Wired,3.4,1903,500+ ,299,699,57,least bought
245,Boat,Boat airdopes 411anc,Grey hurricane,Wireless,3.4,93,500+ ,1399,4990,72,least bought
246,Ambrane,Ambrane,Stringz,Wired,3.2,846,700+ ,249,599,58,least bought
247,Zebronics,Zebronics zeb evolve,Blue,Wireless,3.6,5102,1k+ ,499,1499,67,frequently bought
248,Bouncefit,Bouncefit,Black,Wireless,4.3,369,500+ ,449,2999,85,least bought
249,Boat,"Boat airdopes ultra pro (2025), 100hrs battery, dual pairing, spatial audio, app support, fast charge, 4mics enx, v5.3",Gunmetal black,Wireless,4.4,329,1k+ ,1999,6990,71,frequently bought
250,Ambrane,Ambrane,Stringz,Wired,3.8,5523,900+ ,199,449,56,least bought
251,Boat,"Boat airdopes 800 hidef, hi-res audio ldac, 4mic enx, app support, asap charge, ipx5, low latency, dual pairing, btv5.3,",Graphite grey,Wireless,4.0,3927,500+ ,1799,7490,76,least bought
252,Boat,"Boat airdopes 141 pro buds, 13mm drivers, metallic finish, 60hrs battery, 4mics enx, fast charge, ipx5, v5.3",Surfer silver,Wireless,3.4,139,500+ ,1299,4990,74,least bought
253,Boat,Boat bassheads 105,Green,Wired,4.0,38296,200+ ,399,999,60,least bought
254,Concept,"Concept kart kz edx pro iem earphone,hifi stereo special dual magnetic circuit dynamic driver resin inlay metal process in-ear monitors",White,Wired,3.8,1636,500+ ,1139,1999,43,least bought
255,Ptron,Ptron tangentbeat in ear,Dark green,Wireless,3.8,76117,800+ ,599,2499,76,least bought
256,Boat,Boat airdopes primo,Active black,Wireless,3.4,102,3k+ ,799,4490,82,frequently bought
257,Soundcore,Soundcore by anker r50i vi true,Black,Wireless,4.3,38372,500+ ,1298,2249,42,least bought
258,Mustang,Mustang newly launched dyno,Grey,Wireless,4.0,6023,300+ ,1799,4999,64,least bought
259,Boat,Boat airdopes 163/ airdopes 161,Ivory white,Wireless,3.8,733,1k+ ,1099,2490,56,frequently bought
260,Boat,Boat bassheads 122 anc,Black,Wired,3.3,654,1k+ ,999,2999,67,frequently bought
261,Noise,Noise newly launched air clips,Pearl black,Wireless,2.5,117,500+ ,2999,3999,25,least bought
262,Ptron,Ptron pride lite,Blue,Wired,3.8,5714,1k+ ,229,899,75,frequently bought
263,Boat,Boat immortal 121,White sabre,Wireless,3.5,2278,400+ ,899,3499,74,least bought
264,Philips,Philips audio tae1159bk/00,Black,Wired,3.8,358,500+ ,399,999,60,least bought
265,Noise,Noise newly launched buds vs601,Silver grey,Wireless,3.8,397,500+ ,1399,3999,65,least bought
266,Gztishot,Gztishot',White,Wired,5.0,8,200+ ,468,1699,72,least bought
267,Jbl,Jbl tune 310,Blue,Wired,3.0,626,500+ ,1499,1999,25,least bought
268,Ptron,"Ptron newly launched tangent evolve with 34hrs playtime, hd mic, pristine sound,",Black,Wireless,4.0,149,400+ ,599,1999,70,least bought
269,Ptron,Ptron tangent duo,Black,Wireless,3.6,3171,400+ ,399,1899,79,least bought
270,Mivi,"Mivi superpods halo [flagship launch], 35db anc active noise cancellation",Black,Wireless,3.9,5110,900+ ,1999,7499,73,least bought
271,Realme,Realme buds t01,Black,Wireless,3.6,325,700+ ,1099,2999,63,least bought
272,Boat,"Boat rockerz 255 z plus, ai-enx tech, spatial audio, 50hrs battery, low latency mode, fast charge, app support, ipx4, gfps, bt v5.3,",Pine green,Wireless,3.9,227086,1k+ ,1299,4490,71,frequently bought
273,Zebronics,Zebronics zeb-corolla in ear,Black,Wired,3.5,4938,500+ ,169,399,58,least bought
274,Boat,Boat nirvana x,Cosmic onyx,Wireless,4.0,506,500+ ,2499,8990,72,least bought
275,Noise,Noise buds vs104,Snow white,Wireless,3.8,26469,1k+ ,1099,3499,69,frequently bought
276,Kratos,Kratos neckband,Black,Wireless,3.4,137,700+ ,299,1499,80,least bought
277,Iqoo,Iqoo,Flame yellow,Wireless,4.2,588,1k+ ,1899,2099,10,frequently bought
278,Boat,"Boat airdopes 800, dolby audio, adaptive eq by mimi, 4mics ai enx, app support, fast charge, low latency, ipx5, v5.3",Interstellar blue,Wireless,4.0,3927,500+ ,1799,6490,72,least bought
279,Boat,"Boat airdopes 280 anc, active noise cancellation(~32db), 60hrs battery, 13mm drivers, 4mics enx, fast charge, ipx5, v5.3",Mint blue,Wireless,3.5,2490,300+ ,1249,6990,82,least bought
280,Boat,"Boat rockerz 111, 40hrs battery, dual device pairing, enx tech, low latency mode, fast charging, btv5.3, ipx5, type-c interface,",Ash grey,Wireless,3.6,1419,1k+ ,899,2490,64,frequently bought
281,Amazon,Amazon basics,White,Wireless,3.5,513,400+ ,499,1999,75,least bought
282,Boat,Boat rockerz 210 anc,Onyx black,Wireless,3.6,1700,500+ ,1499,5990,75,least bought
283,Hammer,Hammer new launch ultra pods,Blue,Wireless,3.0,385,600+ ,699,3499,80,least bought
284,Realme,Realme,Silver blue,Wireless,4.1,2530,700+ ,4499,7999,44,least bought
285,Ambrane,Ambrane type c,Stringz,Wired,3.4,751,500+ ,329,699,53,least bought
286,Noise,Noise aura buds,Aura white,Wireless,4.0,2844,500+ ,1299,4499,71,least bought
